"id","priority","master_attribute_id","plan_attribute_id"
"620",200,"630","871"
"621",200,"631","872"
"622",200,"632","873"
"623",200,"633","874"
"624",200,"634","875"
"625",200,"635","876"
"626",200,"636","877"
"627",200,"637","878"
"628",200,"638","879"
"629",200,"639","880"
"630",200,"640","881"
"631",200,"641","882"
"632",200,"642","883"
"633",200,"643","884"
"634",200,"644","885"
"635",200,"645","886"
"636",200,"646","887"
"637",200,"647","888"
"638",200,"648","889"
"639",200,"649","890"
"640",200,"650","891"
"641",200,"651","892"
"642",200,"652","896"
"643",200,"653","897"
"644",200,"654","898"
"645",200,"655","899"
"646",200,"656","900"
"647",200,"657","901"
"648",200,"658","905"
"649",200,"659","906"
"650",200,"660","907"
"651",200,"661","908"
"652",200,"662","909"
"653",200,"663","910"
"654",200,"664","911"
"655",200,"665","912"
"656",200,"666","913"
"657",200,"667","914"
"658",200,"668","915"
"659",200,"669","916"
"660",200,"670","917"
"661",200,"671","918"
"662",200,"672","919"
"663",200,"673","920"
"664",200,"674","921"
"665",200,"675","922"
"666",200,"676","923"
"667",200,"677","924"
"668",200,"678","925"
"669",200,"679","926"
"670",200,"680","927"
"671",200,"681","928"
"672",200,"682","929"
"673",200,"683","930"
"674",200,"684","931"
"675",200,"685","932"
"676",200,"686","933"
"677",200,"687","934"
"678",200,"688","935"
"679",200,"689","936"
"680",200,"690","937"
"681",100,"691","10845"
"682",200,"691","678"
"683",750,"379","11214"
"684",100,"692","951"
"685",100,"693","952"
"686",100,"694","953"
"701",100,"474","9701"
"702",100,"493","9704"
"703",100,"471","9707"
"704",100,"496","9710"
"705",100,"499","9713"
"706",100,"502","9716"
"707",100,"505","9719"
"708",100,"508","9722"
"709",100,"511","9725"
"710",100,"514","9728"
"711",100,"517","9731"
"712",100,"520","9734"
"713",100,"523","9737"
"714",100,"526","9740"
"715",100,"477","9743"
"716",100,"529","9746"
"717",100,"480","9749"
"718",100,"532","9752"
"719",100,"535","9755"
"720",100,"538","9758"
"721",100,"541","9761"
"722",100,"544","9764"
"723",100,"547","9767"
"724",100,"550","9770"
"725",100,"553","9773"
"726",100,"556","9776"
"727",100,"559","9779"
"728",100,"562","9782"
"729",100,"565","9785"
"730",100,"568","9788"
"731",100,"571","9791"
"732",100,"574","9794"
"733",100,"483","9797"
"734",100,"577","9800"
"735",100,"580","9803"
"736",100,"583","9806"
"737",100,"586","9809"
"738",100,"589","9812"
"739",100,"592","9815"
"740",100,"595","9818"
"741",100,"598","9821"
"742",100,"601","9824"
"743",100,"604","9827"
"744",100,"468","9830"
"745",100,"486","9833"
"746",100,"607","9834"
"747",100,"465","9839"
"748",100,"489","9842"
"749",100,"462","9845"
"750",100,"459","9848"
"751",100,"610","9851"
"752",100,"613","9854"
"753",100,"616","9857"
"754",100,"619","9860"
"755",100,"622","9863"
"756",100,"625","9866"
"757",100,"628","9869"
"758",100,"631","9872"
"759",100,"632","9873"
"760",100,"637","9878"
"761",100,"640","9881"
